tag,词性,oldtag2count,oldexttag2count,newtag2cout,newtitleexttag2count,newdescexttag2count,classifer,entropy,entropyv2,remove
武汉贷款,武汉/ns(地名) 贷款/n(名词),101,182,274,318,173,0.009005837,4.40437872806363,3.40197035986479,1
酒托,酒托/n(名词),71,492,104,169,248,0.164567484,4.32854410805652,3.03376296192976,1
鸳鸯浴,鸳鸯浴/n(名词),58,21,1,2,NULL,0.40959407,1.09861228866811,0,1
帝豪ev,帝豪/nz(其他专名) ev/nx(其他),136,10,28,9,8,0.053582471,2.82156380786036,2.30258509299405,1
私家侦探,私家/b(其他) 侦探/n(名词),1385,704,446,136,163,NULL,3.25511051272774,1.88669678465808,0
代孕妈妈,代孕/vn(其他) 妈妈/n(名词),99,139,5,NULL,5,0.08196829,NULL,NULL,1
购物优惠券,购物/v(动词) 优惠券/n(名词),171,1484,311,892,1006,0.008716136,4.80029810427839,3.45532976316044,0
邯郸,邯郸/ns(地名),480,14762,1217,15871,9110,NULL,7.03663196608381,6.82553368328118,0
微博营销,微博/n(名词) 营销/vn(其他),6477,327,7007,90,269,NULL,4.05459220071694,3.58511918917594,0
学神,学/v(动词) 神/n(名词),342,2523,171,291,257,0.243536537,4.67759002313009,3.08403556035341,0
优品,优品/n(名词),53,4470,123,6789,939,0.066571158,4.78791024029392,3.46670451503388,1
开增票,开/v(动词) 增票/n(名词),134,60,14,8,21,0.225789573,0,0,1
拼团,拼团/n(名词),213,3795,557,1534,2294,0.036838047,6.36018028720186,5.25240683414461,0
慢跑,慢跑/v(动词),267,740,434,272,545,0.047196712,5.33612257430846,4.30102015120878,0
郑州治疗白癜风,郑州/ns(地名) 治疗/vn(其他) 白癜风/n(名词),325,1,17,1,NULL,0.02384252,0.693147180559945,0,1
一切为了孩子！,一切/r(代词) 为了/p(介词) 孩子/n(名词) !/w(标点),58,722,38,5,315,0.896749168,1.38629436111989,0,1
分分彩计划群,分分彩/n(名词) 计划/n(名词) 群/Ng(其他),75,37,7,12,1,0.369802675,1.30309240376172,0,1
指南者,指南者/nz(其他专名),229,236,92,95,117,0.00921288,4.35951595651158,3.96101902785071,0
炒股操作,炒股/v(动词) 操作/v(动词),55,1,91,NULL,1,0.014046501,NULL,NULL,1
兴趣部落,兴趣/n(名词) 部落/n(名词),321,1983,931,1087,1983,0.410306388,6.03660481850472,5.70154116985228,0
增值税票,增值税/n(名词) 票/n(名词),136,650,32,22,47,0.074008632,2.8243805404749,2.19722457733622,1
柱塞阀,柱塞阀/n(名词),70,37,7,NULL,5,0.035611773,NULL,NULL,1
流川枫,流川枫/nr(其他),258,215,251,29,7,0.082002638,3.71532971890538,2.06888464582756,0
e18时时彩,e18/nx(其他) 时时/d(副词) 彩/Ng(其他),166,13,NULL,NULL,NULL,0.090780554,NULL,NULL,1
美元英镑,美元/n(名词) 英镑/n(名词),59,30,41,3,4,0.049525755,1.05492016798614,1.05492016798614,1
穿越火线,穿/v(动词) /n(名词) 越/j(简称) /n(名词) 火/n(名词) /n(名词) 线/n(名词),63,30,189,93,90,0.238129666,0.442925207977018,0,1
北京信用卡,北京/ns(地名) 信用卡/n(名词),177,414,56,247,61,0.011359209,3.79977767607209,2.92959899570536,0
吉利俱乐部,吉利/n(名词) 俱乐部/n(名词),56,33,NULL,2,2,0.249134503,0,0,1
酷,酷/Ag(其他),454,NULL,381,NULL,NULL,NULL,NULL,NULL,1
哈尔滨,哈尔滨/ns(地名),1003,26797,2176,15867,9684,NULL,7.23758712154501,7.25220564657349,0
秀舞,秀舞/n(名词),503,416,13,72,32,NULL,4.40586769752322,3.30494025990643,0
lol帐号出售,lol/nx(其他) 帐号/n(名词) 出售/v(动词),64,NULL,37,NULL,NULL,0.070901657,NULL,NULL,1
老虎机,老虎机/n(名词),155,391,122,86,133,0.019841289,4.35428762339988,3.56943980543735,1
qq炫舞手游,qq/n(名词) 炫舞/n(名词) 手游/n(名词),14372,34514,316,261,534,NULL,4.43353033757522,3.6844458048397,0
股票股,股票/n(名词) 股/n(名词),58,327,2,30,169,0.009595511,2.71234621699024,3.47613124085399,1
mmm金融互助社区,mmm/nx(其他) 金融/n(名词) 互助/vn(其他) 社区/n(名词),129,76,19,14,6,0.079434855,1.09861228866811,0,1
金外投资,金/j(简称) 外/f(方位词) 投资/v(动词),56,NULL,NULL,NULL,NULL,0.12062961,NULL,NULL,1
北京快三,北京/ns(地名) 快/a(形容词) 三/m(数词),595,192,145,4,13,NULL,0.693147180559945,0,1
猕猴桃批发,猕猴桃/n(名词) 批发/vn(其他),60,62,8,13,7,0.006596315,2.59683386889756,1.83437197028162,1
颜值高,颜值/n(名词) 高/a(形容词),325,1446,244,93,458,0.352770838,4.40273411310521,2.87147611805487,0
青年机遇,青年/n(名词) 机遇/n(名词),639,691,1303,102,1032,NULL,2.63480041611045,1.15374194270109,0
交友▄吃货,交友/v(动词) ▄/n(名词) 吃货/n(名词),185,NULL,1,NULL,NULL,0.323823366,NULL,NULL,1
有些话,有些/r(代词) 话/n(名词),72,2238,1,19,896,0.779915143,3.6211324627787,0,1
征信不良记录删除,征信/vn(其他) 不良/a(形容词) 记录/n(名词) 删除/v(动词),692,153,77,10,10,NULL,0,0,0
心理部,心理部/n(名词),81,2244,NULL,72,20,0.164567484,4.2746357088165,3.09104245335831,1
期货开户,期货/n(名词) 开户/vn(其他),215,504,435,239,801,0.006969283,4.92334498695117,4.67765267277592,0
香港六合,香港/ns(地名) 六合/ns(地名),151,608,49,106,72,0.026747708,4.12672065947891,3.14180415921323,1
情缘,情缘/n(名词),235,39366,446,17919,5015,0.451698841,7.02858996392374,6.45830838760291,1
重庆时时彩平台,重庆/ns(地名) 时时/d(副词) 彩/Ng(其他) 平台/n(名词),63,139,42,12,37,0.086443709,0.500402423538188,0,1
足球篮球滚球体彩,足球/n(名词) 篮球/n(名词) 滚球/n(名词) 体彩/n(名词),340,NULL,143,2,NULL,0.014807537,0,0,1
执业医师,执业/vn(其他) 医师/n(名词),353,1106,919,606,848,0.037264181,4.66827094629231,3.99630977919417,0
巴厘岛,巴厘岛/ns(地名),2413,1046,1623,300,353,NULL,5.19404135075557,3.95007863446956,0
股票指导,股票/n(名词) 指导/vn(其他),310,523,610,177,356,0.007520325,4.16306234728815,4.58437820651497,0
85后,85/m(数词) 后/f(方位词),1719,687,997,210,277,NULL,4.78100204631525,4.29408737233629,0
早盘股盘股,早盘股/n(名词) 盘/Ng(其他) 股/n(名词),103,NULL,NULL,NULL,NULL,0.12840959,NULL,NULL,1
独家,独家/d(副词),74,14661,212,11108,8948,0.123762003,4.37792210076406,2.17057250379696,1
德语,德语/n(名词),220,2471,286,475,664,0.050152648,5.49355570940651,4.38036318474193,0
设计装修建筑工程,设计/vn(其他) 装修/vn(其他) 建筑/vn(其他) 工程/n(名词),92,103,73,3,166,0.009938148,1.09861228866811,1.09861228866811,1
健康减肥,健康/ad(其他) 减肥/v(动词),489,2451,399,573,705,NULL,4.84291796742107,4.37893600026099,0
乔布斯传,乔布斯/n(名词) 传/v(动词),738,3,340,NULL,NULL,NULL,NULL,NULL,1
塔罗,塔罗/n(名词),2207,1159,1067,388,459,NULL,5.53209018345975,3.73947152661199,0
会计职称,会计/n(名词) 职称/n(名词),1432,740,1838,516,685,NULL,4.79094800394155,3.94379740493137,0
go_购,go/nx(其他) _/w(标点) 购/Vg(其他),97,NULL,12,NULL,NULL,0.347302428,NULL,NULL,1
佛山,佛山/ns(地名),699,20684,2066,17077,11920,NULL,7.15147760819463,7.01562028240714,0
凤凰平台开户,凤凰/ns(地名) 平台/n(名词) 开户/vn(其他),73,125,23,1,24,0.01504036,0,0,1
翼虎,翼虎/nz(其他专名),328,661,300,388,431,0.041691125,4.74424392453111,3.99804224020931,0
开增值,开/v(动词) 增值/v(动词),209,211,46,41,95,0.051948917,2.32235062011111,2.68594532466979,0
秘书部,秘书部/n(名词),172,9343,6,347,129,0.164567484,5.32285722018084,4.26868431427794,1
时间短,时间/n(名词) 短/a(形容词),71,446,36,2,201,0.394643359,1.79175946922805,1.09861228866811,1
京东好评返现,京东/ns(地名) 好评/n(名词) 返现/n(名词),59,61,1,NULL,1,0.061241211,NULL,NULL,1
育儿护理,育儿/vn(其他) 护理/vn(其他),50,9,4,1,9,0.025900756,1.09861228866811,0.693147180559945,1
天猫赔钱特价,天猫/n(名词) 赔钱/v(动词) 特价/n(名词),61,59,2,2,2,0.014967734,1.38629436111989,0,1
考研资料,考研/v(动词) 资料/n(名词),1045,3695,2553,1112,4684,NULL,4.85485856481243,5.06485536873224,0
互联网创业加盟,互联网/n(名词) 创业/v(动词) 加盟/v(动词),60,3,12,2,7,0.052563181,0.693147180559945,0,1
白领,白领/b(其他),13705,8016,12638,1222,2436,NULL,5.92776052880545,5.58132979004326,1
金刚菩提,金刚/nr(其他) 菩提/n(名词),324,337,430,163,228,0.021742171,3.93647309867732,3.29343487198668,0
深圳信用卡套现,深圳/ns(地名) 信用卡/n(名词) 套现/v(动词),159,27,10,6,7,0.004269807,1.33217904021012,0,1
重庆时时彩网赚,重庆/ns(地名) 时时/d(副词) 彩/Ng(其他) 网赚/n(名词),153,113,6,7,23,0.015496383,1.00271826451752,0,1
st股,st/nx(其他) 股/n(名词),71,21,17,4,12,0.1083983,1.05492016798614,0,1
知音漫客,知音/n(名词) 漫客/n(名词),236,416,589,210,253,0.421415198,4.90682331778072,3.3561195780459,0
淘宝代刷信誉,淘宝/n(名词) 代刷/n(名词) 信誉/n(名词),83,96,21,22,50,0.037331614,2.67795000336388,1.79175946922805,1
麻将外挂辅助,麻将/n(名词) 外挂/v(动词) 辅助/vn(其他),175,115,4,6,3,0.080419057,1.38629436111989,0,1
票据,票据/n(名词),69,1465,121,641,691,0.030206498,5.43067352880952,4.59770276342208,1
奥迪q3,奥迪/n(名词) q3/nx(其他),507,187,82,150,131,NULL,4.35227857770412,3.77209554170342,0
奥迪q2,奥迪/n(名词) q2/nx(其他),105,11,7,5,9,0.012965826,2.13833305950803,1.6094379124341,1
对戏,对戏/n(名词),188,969,323,91,843,0.164567484,4.95476877198647,3.45393740733992,0
奥迪q7,奥迪/n(名词) q7/nx(其他),420,117,48,47,41,NULL,3.75830295229033,2.90994857385409,0
小兵,小兵/n(名词),180,3255,120,470,338,0.169508863,5.75227824565428,4.80659935957018,0
奥迪q8,奥迪/n(名词) q8/nx(其他),103,2,5,NULL,3,0.012965826,NULL,NULL,1
早教资料免费下载,早教/j(简称) 资料/n(名词) 免费/vd(趋向动词) 下载/v(动词),108,685,NULL,1,1,0.046853309,0,0,1
天蝎座,天蝎座/n(名词),5892,1620,2179,375,615,NULL,5.42801394238326,3.87006817890419,0
考试答案,考试/vn(其他) 答案/n(名词),50,1185,24,144,190,0.130787373,3.9004571431342,2.98957330928626,1
抗痘,抗痘/v(动词),1637,59,843,4,13,NULL,1.38629436111989,0.693147180559945,1
保健按摩,保健/n(名词) 按摩/vn(其他),323,3569,32,48,60,0.125266084,4.33030340931208,3.57938896373468,0
产权,产权/n(名词),3388,1946,5267,1279,1518,NULL,4.61529522915303,3.77735494650228,0
手帐,手帐/n(名词),204,956,578,665,698,0.164567484,5.62652317493245,4.95316361893989,0
土建,土建/n(名词),385,6963,1532,2534,2825,0.027847687,6.20346813078038,5.50607693338972,0
畜牧学,畜牧学/n(名词),54,85,3,5,4,0.020007617,2.56494935746154,1.79175946922805,1
恒大净月公馆,恒大/n(名词) 净月/n(名词) 公馆/n(名词),53,3,24,3,NULL,0.076413998,0.693147180559945,0,1
狮子座,狮子座/n(名词),5752,1942,1968,438,663,NULL,5.47742652852349,4.33301523841325,0
代办银行卡3,代办/v(动词) 银行卡/n(名词) 3/m(数词),72,NULL,NULL,NULL,NULL,0.037433361,NULL,NULL,1
代办银行卡2,代办/v(动词) 银行卡/n(名词) 2/m(数词),78,NULL,NULL,NULL,NULL,0.030603626,NULL,NULL,1
代办银行卡1,代办/v(动词) 银行卡/n(名词) 1/m(数词),75,2,NULL,NULL,NULL,0.025945813,NULL,NULL,1
代办银行卡5,代办/v(动词) 银行卡/n(名词) 5/m(数词),68,NULL,NULL,NULL,NULL,0.042030628,NULL,NULL,1
代办银行卡4,代办/v(动词) 银行卡/n(名词) 4/m(数词),68,NULL,NULL,NULL,NULL,0.037160743,NULL,NULL,1
健身器材出售,健身/vn(其他) 器材/n(名词) 出售/v(动词),95,NULL,4,NULL,NULL,0.033631037,NULL,NULL,1
国产片,国产/b(其他) 片/Ng(其他),214,200,30,46,52,0.179955857,3.26612260313653,2.09827373952525,0
淘宝放单1,淘宝/n(名词) 放/v(动词) 单/b(其他) 1/m(数词),83,122,21,3,NULL,0.081601934,0.562335144618808,0,1
衣食住行,衣食住行/i(习语),185,783,169,134,781,0.217170009,5.01355358368609,4.20292448566225,0
甜品,甜品/n(名词),3747,2587,1797,778,967,NULL,5.78903068008751,4.83066047798621,0
孕妇备孕,孕妇/n(名词) 备孕/n(名词),74,336,5,88,610,0.064031907,3.45385700478382,3.15617090424264,1
苍井空,苍井空/nr(其他),108,686,182,138,120,0.117826001,4.94791482616163,3.77821894525044,1
好股,好/a(形容词) 股/n(名词),208,1488,76,98,416,0.415467651,4.35385999451095,3.61681175440256,0
心灵鸡汤,心灵/n(名词) 鸡汤/n(名词),201,1172,286,224,303,0.260076039,4.99473878928785,3.64156009467598,0
师范,师范/n(名词),184,62429,287,3887,2599,0.152057957,6.60733575452187,6.00463104810259,0
杭州,杭州/ns(地名),1670,54493,3769,35825,25094,NULL,7.47707603973347,7.45739041077452,0
手机软件,手机/n(名词) 软件/n(名词),177,1012,401,390,721,0.020644676,4.82674104193633,4.34369904613925,0
自然风光,自然/n(名词) 风光/n(名词),11581,187,8554,11,214,NULL,2.84648038613487,1.74786809746676,0
盗墓,盗墓/v(动词),177,1825,316,564,593,0.039178809,6.08181338369514,4.85207394608743,0
总经理,总经理/n(名词),178,1826,240,281,858,0.116727096,4.90319921962176,4.26726409148522,0
语言胎教,语言/n(名词) 胎教/n(名词),89,63,19,NULL,12,0.016390214,NULL,NULL,1
私募主力,私募/a(形容词) 主力/n(名词),1801,62,2497,72,29,NULL,3.5633796573251,3.69825457954444,0
互联网营销,互联网/n(名词) 营销/vn(其他),201,550,400,190,327,0.028478552,4.41953603016085,4.25843049776546,0
脑洞,脑洞/n(名词),201,2310,296,379,989,0.164567484,6.15787205145194,4.93648836883459,1
微交易招商群,微交易/n(名词) 招商/vn(其他) 群/Ng(其他),161,50,9,28,4,0.268706713,2.13833305950803,1.32966134885476,1
东风裕隆,东风/ns(地名) 裕隆/nt(其他),55,50,11,8,11,0.038035824,2.41019420936877,0.867563228481461,1
免费代理,免费/vd(趋向动词) 代理/v(动词),211,1545,381,380,889,0.126946927,5.46849880324824,4.82010028232527,0
杭州银行,杭州/ns(地名) 银行/n(名词),149,141,2,22,12,0.009390352,3.60123643699922,3.04284548781654,1
共勉,共勉/v(动词),171,6442,139,492,3464,0.728307635,5.77340362230063,5.20029451440347,0
律师▄支持腾讯,律师/n(名词) ▄/n(名词) 支持/v(动词) 腾讯/nz(其他专名),1093,NULL,1,NULL,NULL,NULL,NULL,NULL,1
猪猪,猪猪/n(名词),89,29853,72,4166,1464,0.152182204,5.85565968971683,4.70333385282408,1
买卡,买/v(动词) 卡/n(名词),52,571,6,16,254,0.157014197,3.66452372052897,2.63905732961526,1
办指定姓名银行卡,办/v(动词) 指定/v(动词) 姓名/n(名词) 银行卡/n(名词),57,7,NULL,NULL,NULL,0.307097795,NULL,NULL,1
新手抄底,新手/n(名词) 抄底/v(动词),60,1,41,NULL,NULL,0.043940828,NULL,NULL,1
切线理论,切线/n(名词) 理论/n(名词),101,1,73,NULL,NULL,0.029941915,NULL,NULL,1
鲜花园艺,鲜花/n(名词) 园艺/n(名词),3381,3,2725,2,1,NULL,1.6094379124341,0.693147180559945,1
社会工招聘,社会/n(名词) 工/n(名词) 招聘/v(动词),96,6,3,4,4,0.062074924,1.90615474653985,1.38629436111989,1
刷金币,刷/v(动词) 金币/n(名词),23512,584,8040,226,397,NULL,4.31005818294428,3.45824507071599,0
美眉,美眉/n(名词),625,12829,343,981,2805,NULL,6.3355041463143,5.10305402063731,1
pk10计划,pk/nx(其他) 10/m(数词) 计划/n(名词),114,224,32,21,15,0.168797217,2.76164263406667,1.97300140639361,1
男演员,男/b(其他) 演员/n(名词),12419,237,5158,10,545,NULL,2.88616517819943,2.16395565688206,0
喊单交流,喊/v(动词) 单/b(其他) 交流/vn(其他),252,624,181,355,271,0.282729526,4.01259953828916,3.78839409101767,0
装修票装饰票,装修票/n(名词) 装饰/n(名词) 票/n(名词),105,7,NULL,1,2,0.03146584,0,0,1
款姐包养,款/n(名词) 姐/n(名词) 包养/v(动词),103,NULL,NULL,NULL,NULL,0.356886581,NULL,NULL,1
西班牙红酒,西班牙/ns(地名) 红酒/n(名词),71,18,20,4,6,0.034287021,1.6094379124341,0.693147180559945,1
体育投注,体育/n(名词) 投注/v(动词),140,188,20,23,86,0.042993835,2.78269467240392,2.64053407161574,1
福州中科白癜风,福州/ns(地名) 中科/j(简称) 白癜风/n(名词),216,345,106,3,54,0.01176039,1.38629436111989,0,1
穴位,穴位/n(名词),929,333,846,119,292,NULL,4.5370626942303,3.25575122716424,0
甘肃白癜风,甘肃/ns(地名) 白癜风/n(名词),327,17,6,1,NULL,0.027592494,0.693147180559945,0,1
伊瞳,伊瞳/n(名词),50,70,88,8,25,0.164567484,2.83071340375463,1.38629436111989,1
开钢材票,开/v(动词) 钢材/n(名词) 票/n(名词),54,31,9,5,3,0.01628465,1.09861228866811,1.09861228866811,1
300英雄,300/m(数词) 英雄/n(名词),1628,2113,5869,2020,1887,NULL,6.16207256244074,5.08953700310779,0
娱乐交流,娱乐/vn(其他) 交流/vn(其他),249,7972,505,5204,3526,0.427898749,5.71365131278443,6.53629837145105,1
风朗,风/n(名词) 朗/Ag(其他),174,99,21,12,17,0.166903279,2.61349896600362,2.10124354767003,0
公积金提取,公积金/n(名词) 提取/v(动词),191,433,348,373,282,0.065974041,4.70366150076945,4.50692584127186,0
ds4,ds4/nx(其他),99,62,15,4,11,0.383173894,2.61563057702755,1.79175946922805,1
民主,民主/a(形容词),255,9042,372,1113,7425,0.554100213,5.04586852019686,2.86807276186937,1
ds3,ds3/nx(其他),98,64,15,4,11,0.383173894,2.02532622077007,1.03972077083992,1
安ྉ徽ྉ快ྉ三,安徽/ns(地名) 快/a(形容词) 三/m(数词),56,27,11,4,4,NULL,0,0,1
网赚项目,网赚/n(名词) 项目/n(名词),1078,2626,1442,1715,1849,NULL,4.58870017208674,4.91636848488653,0
成功缩阴经验,成功/ad(其他) 缩阴/v(动词) 经验/n(名词),61,NULL,NULL,NULL,NULL,0.14854589,NULL,NULL,1
南京文交所,南京/ns(地名) 文交所/n(名词),164,308,258,176,233,0.035098176,4.14526191581596,3.62541321969858,0
生活娱乐,生活/vn(其他) 娱乐/vn(其他),539,3557,916,942,1646,NULL,4.97507281831303,5.47272556282144,0
金折800,金/j(简称) 折/v(动词) 800/m(数词),79,NULL,2,NULL,NULL,0.273882004,NULL,NULL,1
双层床,双层床/n(名词),58,2,7,2,9,0.24728924,1.79175946922805,0,1
qq三国,qq/n(名词) 三国/n(名词),296,4447,721,1090,538,0.092392437,5.57656668187836,4.49514664688666,0
随心营销软件,随心/n(名词) 营销/vn(其他) 软件/n(名词),209,NULL,298,NULL,NULL,0.011954378,NULL,NULL,1
过度虚废*,过度/d(副词) 虚/a(形容词) 废/Ag(其他) */w(标点),490,24,87,6,NULL,NULL,0,0,1
淘宝女装,淘宝/n(名词) 女装/n(名词),159,686,181,263,267,0.006035868,4.5952879232544,4.14735663345161,0
职业认证,职业/n(名词) 认证/vn(其他),274,9027,893,68,103,0.075927898,4.18307287687782,3.57527705174111,0
农家乐,农家乐/n(名词),209,1631,387,517,763,0.06551254,6.1946778879247,5.12163552229731,0
全民超神,全民/n(名词) 超神/n(名词),460,1715,757,490,528,NULL,5.29183295980621,4.04469037409936,0
免费手机流量,免费/v(动词) 手机/n(名词) 流量/n(名词),62,64,4,1,9,0.040913961,0,0,1
大迈x7,大迈/n(名词) x7/nx(其他),166,13,29,9,7,0.300666291,2.45820443278557,1.87116041423181,1
大迈x5,大迈/n(名词) x5/nx(其他),159,100,51,37,45,0.300666291,3.39441278081509,2.90698087430077,0
上海股票,上海/ns(地名) 股票/n(名词),179,773,256,734,868,0.004978633,4.03353048151932,4.55672939692135,0
置业安家,置业/n(名词) 安家/v(动词),611,1793,1557,183,674,NULL,4.84256218997826,4.35358367284041,0
friend,friend/nx(其他),330,13424,113,1106,534,0.370106114,5.81810759493554,4.4352271763328,1
诉状,诉状/n(名词),100,25,11,4,18,0.127603329,2.24297322643815,1.15374194270109,1
海报,海报/n(名词),192,3614,442,300,1508,0.069673582,5.62585393711983,4.98314904046324,0
特罗凯,特罗凯/nr(其他),50,64,65,8,54,0.065556314,2.17490364012293,0.693147180559945,1
途观交流群,途观/nz(其他专名) 交流/vn(其他) 群/Ng(其他),93,17,8,6,3,0.334371504,1.56071040904141,1.33217904021012,1
美女@,美女/n(名词) @/w(标点),297,291,NULL,128,25,0.608699764,4.29045663140199,2.85339799332235,1
兼职小姐良家信息,兼职/v(动词) 小姐/n(名词) 良家/n(名词) 信息/n(名词),68,NULL,NULL,NULL,NULL,0.109230918,NULL,NULL,1
孕妈妈相册,孕妈妈/n(名词) 相册/n(名词),59,NULL,16,NULL,NULL,0.195738882,NULL,NULL,1
李宇春,李宇春/n(名词),187,861,322,275,294,0.04503776,4.74692132205715,3.20899719485755,0
勘察,勘察/vn(其他),2098,1841,3453,970,1219,NULL,5.25474883088226,4.08773615932619,0
早教机构加盟,早教/j(简称) 机构/n(名词) 加盟/v(动词),58,17,33,4,NULL,0.058360219,1.242453324894,1.09861228866811,1
hentai,hentai/nx(其他),258,748,562,373,448,0.383173894,5.70097789569174,3.91456385632591,0
人体艺术,人体/n(名词) 艺术/n(名词),73,457,94,139,95,0.01324433,4.45685455572706,3.34015176488963,1
纸白银,纸白银/n(名词),708,1517,694,325,1028,NULL,3.38805208028181,2.81986106065509,0
团队合作,团队/n(名词) 合作/vn(其他),162,1433,214,100,848,0.549538783,4.41011050024536,4.14188750057384,1
时时乐,时时/d(副词) 乐/a(形容词),410,206,68,22,25,NULL,3.45070016218584,2.14584175259475,1
增值票,增值/v(动词) 票/n(名词),103,190,15,22,71,0.061283645,2.94443897916644,2.07944154167984,1
双眼皮隆鼻整形,双眼皮/n(名词) 隆鼻/v(动词) 整形/vn(其他),74,229,5,40,44,0.013270784,3.16536559977383,3.10257127680455,1
叶世荣,叶世荣/nr(其他),51,40,168,3,43,0.088469971,1.94591014905531,1.38629436111989,1
一辈子的兄弟,一辈子/m(数词) 的/u(助词) 兄弟/n(名词),103,7102,26,221,1979,0.944686,4.13055711799801,2.19722457733622,1
无产阶级,无产阶级/n(名词),7039,572,4183,90,133,NULL,4.80325271843206,3.23683709433855,0
安妮宝贝,安妮/nr(其他) 宝贝/n(名词),1636,184,577,48,10,NULL,3.29208677120018,2.42601513195981,0
假体隆鼻,假体/n(名词) 隆鼻/v(动词),659,143,175,1,40,NULL,0,0,1
早盘股,早盘股/n(名词),1498,895,1475,144,770,NULL,4.08660793550379,3.83625873743397,0
沙龙,沙龙/nr(其他),168,9557,234,5124,2364,0.226454955,7.46302465416086,6.50859794872487,1
现货沥青精准喊单,现货/n(名词) 沥青/n(名词) 精准/a(形容词) 喊/v(动词) 单/b(其他),55,NULL,2,NULL,NULL,0.020277785,NULL,NULL,1
渔歌驾校,渔歌/n(名词) 驾校/n(名词),56,NULL,2,NULL,NULL,0.049055394,NULL,NULL,1
刷钻,刷钻/n(名词),556,7459,1007,968,1632,NULL,5.82422580417041,4.70871275754167,1
pt电子游戏,pt/nx(其他) 电子游戏/n(名词),332,129,72,76,69,0.017386926,1.9500459264754,1.33217904021012,0
宠物医院,宠物/n(名词) 医院/n(名词),1251,388,1713,252,281,NULL,5.67341118454888,4.60449853379443,0
农业卡,农业/n(名词) 卡/n(名词),141,183,13,1,15,0.078591114,0,0,1
女控,女/b(其他) 控/v(动词),50,251,88,164,66,0.35429501,4.94939759272588,4.04331956064231,1
股票开户投资,股票/n(名词) 开户/vn(其他) 投资/vn(其他),59,62,2,2,7,0.004162095,0.693147180559945,0,1
黄秋葵干果批发,黄秋葵/nr(其他) 干果/n(名词) 批发/vn(其他),51,52,NULL,NULL,NULL,0.014995961,NULL,NULL,1
猎豹交流群,猎豹/n(名词) 交流/vn(其他) 群/Ng(其他),52,11,3,7,NULL,0.16432997,1.74786809746676,1.56071040904141,1
很想放纵,很/d(副词) 想/v(动词) 放纵/v(动词),58,249,NULL,NULL,NULL,0.578093944,NULL,NULL,1
