tag,词性,label,remove
家族,家族/n(名词),val_eval_type,1
搞笑,搞笑/v(动词),sin_ver_nou_del_type,0
私企,私企/j(简称),sin_other_save_type,0
勤工俭学,勤工俭学/l(其他),sin_other_save_type,0
旅游,旅游/vn(其他),sin_other_save_type,0
一区,一/m(数词) 区/n(名词),val_num_time_type,1
合作,合作/vn(其他),val_eval_type,1
技术交流,技术/n(名词) 交流/vn(其他),com_del_type,0
普通青年,普通/a(形容词) 青年/n(名词),val_eval_type,1
70后,70/m(数词) 后/f(方位词),val_num_time_type,1
服务,服务/v(动词),val_eval_type,1
摄影,摄影/v(动词),sin_ver_nou_del_type,0
运动,运动/n(名词),sin_ver_nou_del_type,0
兼职,兼职/v(动词),sin_ver_nou_del_type,0
网络,网络/n(名词),val_eval_type,1
网通,网通/n(名词),sin_ver_nou_del_type,0
信息共享,信息/n(名词) 共享/v(动词),com_del_type,0
专业讨论,专业/n(名词) 讨论/v(动词),com_del_type,0
复习,复习/v(动词),sin_ver_nou_del_type,0
流行,流行/v(动词),sin_ver_nou_del_type,0
投资,投资/v(动词),sin_ver_nou_del_type,0
装备,装备/n(名词),sin_ver_nou_del_type,0
互帮互助,互帮互助/l(其他),sin_other_save_type,0
事业单位,事业/n(名词) 单位/n(名词),com_del_type,0
外貌协会,外貌/n(名词) 协会/n(名词),com_del_type,0
棋牌,棋牌/n(名词),sin_ver_nou_del_type,0
动漫,动漫/n(名词),sin_ver_nou_del_type,0
秘书处,秘书处/n(名词),sin_ver_nou_special_type,1
联盟,联盟/n(名词),val_eval_type,1
外联部,外联部/nt(其他),sin_other_remove_type,1
攻略,攻略/n(名词),sin_ver_nou_del_type,0
跆拳道,跆拳道/n(名词),sin_ver_nou_del_type,0
宅,宅/Ng(其他),sin_other_save_type,0
太极,太极/n(名词),sin_ver_nou_del_type,0
音乐,音乐/n(名词),sin_ver_nou_del_type,0
自由,自由/a(形容词),sin_other_save_type,0
红包,红包/n(名词),sin_ver_nou_del_type,0
资源,资源/n(名词),val_eval_type,1
网球,网球/n(名词),sin_ver_nou_del_type,0
经验,经验/n(名词),val_eval_type,1
人脉,人脉/n(名词),sin_ver_nou_del_type,0
月光,月光/n(名词),sin_ver_nou_del_type,0
宠物,宠物/n(名词),sin_ver_nou_del_type,0
谈天说地,谈天说地/i(习语),val_eval_type,1
饭友团,饭友/n(名词) 团/n(名词),com_del_type,0
理财,理财/v(动词),sin_ver_nou_del_type,0
时时彩,时时/d(副词) 彩/Ng(其他),com_del_type,0
人才交流,人才/n(名词) 交流/vn(其他),com_del_type,0
粉丝,粉丝/n(名词),sin_ver_nou_del_type,0
技能,技能/n(名词),val_eval_type,1
爱情,爱情/n(名词),sin_ver_nou_del_type,0
行业分析,行业/n(名词) 分析/v(动词),com_del_type,0
小说,小说/n(名词),sin_ver_nou_del_type,0
驴友,驴友/n(名词),sin_ver_nou_del_type,0
同城交友,同城/n(名词) 交友/v(动词),val_eval_type,1
满级,满/a(形容词) 级/n(名词),com_del_type,0
学校,学校/n(名词),val_eval_type,1
工会,工会/n(名词),val_eval_type,1
互联网,互联网/n(名词),sin_ver_nou_del_type,0
称号,称号/n(名词),val_eval_type,1
兄弟,兄弟/n(名词),val_eval_type,1
游戏币,游戏币/n(名词),sin_ver_nou_del_type,0
职业,职业/n(名词),val_eval_type,1
刷金币,刷/v(动词) 金币/n(名词),com_del_type,0
国企,国企/n(名词),sin_ver_nou_del_type,0
互动,互动/v(动词),val_eval_type,1
购物,购物/v(动词),sin_ver_nou_del_type,0
漫画,漫画/n(名词),sin_ver_nou_del_type,0
情感,情感/n(名词),sin_ver_nou_del_type,0
代练,代练/n(名词),sin_ver_nou_del_type,0
电影,电影/n(名词),sin_ver_nou_del_type,0
培训,培训/v(动词),sin_ver_nou_del_type,0
约会,约会/v(动词),sin_ver_nou_del_type,0
挂机,挂机/n(名词),sin_ver_nou_del_type,0
200,200/m(数词),numeric_type,1
拉风老年,拉风/a(形容词) 老年/t(时间词),com_del_type,0
副本,副本/n(名词),sin_ver_nou_del_type,0
定期聚会,定期/d(副词) 聚会/v(动词),val_eval_type,1
英语,英语/n(名词),sin_ver_nou_del_type,0
二区,二/m(数词) 区/n(名词),val_num_time_type,1
缘分,缘分/n(名词),val_eval_type,1
学生,学生/n(名词),val_eval_type,1
摇滚,摇滚/n(名词),sin_ver_nou_del_type,0
闲聊,闲聊/v(动词),sin_ver_nou_special_type,1
闺蜜,闺蜜/n(名词),val_eval_type,1
酒吧,酒吧/n(名词),sin_ver_nou_del_type,0
电子商务,电子商务/n(名词),sin_ver_nou_del_type,0
经典,经典/n(名词),val_eval_type,1
AA,aa/nx(其他),val_eval_type,1
数学,数学/n(名词),sin_ver_nou_del_type,0
黄金,黄金/n(名词),sin_ver_nou_del_type,0
天天爱消除,天天/d(副词) 爱/v(动词) 消除/v(动词),com_del_type,0
保健,保健/n(名词),porn_type,1
时尚,时尚/n(名词),sin_ver_nou_del_type,0
最新动态,最新/a(形容词) 动态/n(名词),val_eval_type,1
行情,行情/n(名词),sin_ver_nou_del_type,0
生活,生活/vn(其他),val_eval_type,1
小资,小资/n(名词),sin_ver_nou_del_type,0
二次元,二次元/n(名词),sin_ver_nou_del_type,0
职业发展,职业/n(名词) 发展/vn(其他),val_eval_type,1
咨询,咨询/vn(其他),val_eval_type,1
美容化妆,美容/vn(其他) 化妆/vn(其他),com_del_type,0
青春,青春/n(名词),val_eval_type,1
60后,60/m(数词) 后/f(方位词),com_del_type,0
重庆时时彩,重庆/ns(地名) 时时/d(副词) 彩/Ng(其他),com_del_type,0
轻音乐,轻音乐/n(名词),sin_ver_nou_del_type,0
牛股,牛股/n(名词),sin_ver_nou_del_type,0
真题,真题/n(名词),sin_ver_nou_del_type,0
成长任务,成长/v(动词) 任务/n(名词),val_eval_type,1
技巧,技巧/n(名词),val_eval_type,1
有问必答,有问必答/l(其他),sin_other_save_type,0
美食,美食/n(名词),sin_ver_nou_del_type,0
英雄联盟,英雄/n(名词) 联盟/n(名词),com_del_type,0
女演员,女/b(其他) 演员/n(名词),com_del_type,0
妹妹,妹妹/n(名词),val_eval_type,1
新歌,新歌/n(名词),sin_ver_nou_del_type,0
1,1/m(数词),numeric_type,1
汽车,汽车/n(名词),sin_ver_nou_del_type,0
公司培训,公司/n(名词) 培训/vn(其他),com_del_type,0
历史,历史/n(名词),sin_ver_nou_del_type,0
电脑网络,电脑/n(名词) 网络/n(名词),com_del_type,0
LOL,lol/nx(其他),sin_nx_type,0
女歌手,女/b(其他) 歌手/n(名词),com_del_type,0
数码产品,数码/n(名词) 产品/n(名词),com_del_type,0
狂热之刃,狂热/a(形容词) 之/u(助词) 刃/Ng(其他),com_del_type,0
期货,期货/n(名词),sin_ver_nou_del_type,0
视频,视频/n(名词),sin_ver_nou_del_type,0
种族,种族/n(名词),sin_ver_nou_del_type,0
语文,语文/n(名词),sin_ver_nou_del_type,0
手机通讯,手机/n(名词) 通讯/n(名词),com_del_type,0
推广,推广/v(动词),val_eval_type,1
夜生活,夜生活/n(名词),sin_ver_nou_del_type,0
帅哥,帅哥/n(名词),sin_ver_nou_del_type,0
男歌手,男/b(其他) 歌手/n(名词),com_del_type,0
自由行,自由行/n(名词),sin_ver_nou_del_type,0
三区,三/m(数词) 区/n(名词),val_num_time_type,1
同事,同事/n(名词),val_eval_type,1
动画,动画/n(名词),sin_ver_nou_del_type,0
就业机会,就业/v(动词) 机会/n(名词),com_del_type,0
公益活动,公益/n(名词) 活动/vn(其他),com_del_type,0
体验区,体验区/n(名词),val_eval_type,1
吃喝玩乐,吃喝玩乐/l(其他),sin_other_save_type,0
公益,公益/n(名词),sin_ver_nou_del_type,0
外汇,外汇/n(名词),sin_ver_nou_del_type,0
QQ炫舞手游,qq/n(名词) 炫舞/n(名词) 手游/n(名词),com_del_type,0
日韩,日韩/n(名词),sin_ver_nou_del_type,0
户外,户外/s(处所词),sin_other_save_type,0
移动互联网,移动/vn(其他) 互联网/n(名词),com_del_type,0
行业标准,行业/n(名词) 标准/n(名词),com_del_type,0
资讯,资讯/n(名词),val_eval_type,1
小视频,小/a(形容词) 视频/n(名词),com_del_type,0
找妹子,找/v(动词) 妹子/n(名词),porn_type,1
自驾,自驾/n(名词),sin_ver_nou_del_type,0
设计,设计/v(动词),sin_ver_nou_del_type,0
出台,出台/v(动词),porn_type,1
兴趣,兴趣/n(名词),val_eval_type,1
白领,白领/b(其他),sin_other_save_type,0
教师,教师/n(名词),sin_ver_nou_del_type,0
装修,装修/v(动词),sin_ver_nou_del_type,0
好友,好友/n(名词),val_eval_type,1
营销与广告,营销/vn(其他) 与/c(连词) 广告/n(名词),com_del_type,0
建筑工程,建筑/n(名词) 工程/n(名词),com_del_type,0
电话,电话/n(名词),val_eval_type,1
散户,散户/n(名词),sin_ver_nou_del_type,0
股票交流,股票/n(名词) 交流/vn(其他),com_del_type,0
老乡,老乡/n(名词),val_eval_type,1
推理,推理/v(动词),sin_ver_nou_del_type,0
代理,代理/v(动词),val_eval_type,1
美女聊天,美女/n(名词) 聊天/v(动词),porn_type,1
育儿,育儿/vn(其他),sin_other_save_type,0
DJ,dj/nx(其他),sin_nx_type,0
金融,金融/n(名词),sin_ver_nou_del_type,0
点卡,点卡/n(名词),sin_ver_nou_del_type,0
美女保健,美女/n(名词) 保健/n(名词),porn_type,1
自驾游,自驾游/n(名词),sin_ver_nou_del_type,0
酒店美女,酒店/n(名词) 美女/n(名词),porn_type,1
男演员,男/b(其他) 演员/n(名词),com_del_type,0
代购,代购/v(动词),sin_ver_nou_del_type,0
亲友,亲友/n(名词),val_eval_type,1
色,色/n(名词),porn_type,1
行业交流,行业/n(名词) 交流/vn(其他),val_eval_type,1
社交网络,社交/n(名词) 网络/n(名词),val_eval_type,1
开心,开心/a(形容词),val_eval_type,1
妹子多,妹子/n(名词) 多/m(数词),porn_type,1
游泳,游泳/vn(其他),sin_other_save_type,0
银行,银行/n(名词),sin_ver_nou_del_type,0
互赞,互赞/n(名词),val_eval_type,1
快乐,快乐/a(形容词),val_eval_type,1
骑行,骑行/vn(其他),sin_other_save_type,0
激活码,激活码/n(名词),sin_ver_nou_del_type,0
自然风光,自然/n(名词) 风光/n(名词),com_del_type,0
原油,原油/n(名词),sin_ver_nou_del_type,0
企鹅电竞,企鹅/n(名词) 电竞/n(名词),com_del_type,0
基金,基金/n(名词),sin_ver_nou_del_type,0
我的世界,我/r(代词) 的/u(助词) 世界/n(名词),com_del_type,0
网赚,网赚/n(名词),sin_ver_nou_del_type,0
白银,白银/n(名词),sin_ver_nou_del_type,0
新兴行业,新兴/b(其他) 行业/n(名词),com_del_type,0
资源分享,资源/n(名词) 分享/v(动词),val_eval_type,1
逗比,逗比/n(名词),sin_ver_nou_del_type,0
工作,工作/vn(其他),val_eval_type,1
涨停板,涨停板/n(名词),sin_ver_nou_del_type,0
短线,短线/n(名词),sin_ver_nou_del_type,0
冲刺,冲刺/v(动词),sin_ver_nou_del_type,0
招聘,招聘/v(动词),sin_ver_nou_del_type,0
解套,解套/v(动词),sin_ver_nou_del_type,0
相亲,相亲/v(动词),sin_ver_nou_del_type,0
投资公司,投资/v(动词) 公司/n(名词),com_del_type,0
欧美,欧美/j(简称),sin_other_save_type,0
美术,美术/n(名词),sin_ver_nou_del_type,0
团体旅游,团体/n(名词) 旅游/vn(其他),com_del_type,0
版本更新,版本/n(名词) 更新/v(动词),val_eval_type,1
赚钱,赚钱/a(形容词),sin_other_save_type,0
90,90/m(数词),numeric_type,1
唱歌,唱歌/v(动词),sin_ver_nou_del_type,0
共谋发展,共谋/v(动词) 发展/v(动词),val_eval_type,1
华语,华语/n(名词),sin_ver_nou_del_type,0
资料,资料/n(名词),val_eval_type,1
DIY,diy/nx(其他),sin_nx_type,0
爱好,爱好/v(动词),val_eval_type,1
古典,古典/b(其他),sin_other_save_type,0
时时彩计划,时时/d(副词) 彩计划/n(名词),com_del_type,0
服饰箱包,服饰/n(名词) 箱包/n(名词),com_del_type,0
上海,上海/ns(地名),sin_ns_type,0
聊天交友,聊天/v(动词) 交友/v(动词),val_eval_type,1
宫斗,宫斗/n(名词),sin_ver_nou_del_type,0
妹子,妹子/n(名词),sin_ver_nou_del_type,0
天猫,天猫/n(名词),sin_ver_nou_del_type,0
手机,手机/n(名词),sin_ver_nou_del_type,0
美女出台,美女/n(名词) 出台/v(动词),porn_type,1
COSPLAY,cosplay/nx(其他),sin_nx_type,0
传媒,传媒/n(名词),sin_ver_nou_del_type,0
外企,外企/n(名词),sin_ver_nou_del_type,0
迷宫,迷宫/n(名词),sin_ver_nou_del_type,0
母婴,母婴/n(名词),sin_ver_nou_del_type,0
公务员,公务员/n(名词),sin_ver_nou_del_type,0
秒杀,秒杀/n(名词),sin_ver_nou_del_type,0
影视,影视/b(其他),sin_other_save_type,0
百度,百度/nz(其他专名),sin_nz_type,0
艾欧尼亚,艾欧尼亚/nr(其他),sin_nr_type,0
无聊,无聊/a(形容词),sin_other_remove_type,1
招商,招商/v(动词),sin_ver_nou_del_type,0
模特,模特/n(名词),sin_ver_nou_del_type,0
泡吧,泡/v(动词) 吧/y(语气助词),com_del_type,0
服装,服装/n(名词),sin_ver_nou_del_type,0
民谣,民谣/n(名词),sin_ver_nou_del_type,0
团购,团购/n(名词),sin_ver_nou_del_type,0
找工作,找/v(动词) 工作/vn(其他),com_del_type,0
优惠,优惠/vn(其他),sin_other_save_type,0
大学生,大学生/n(名词),val_eval_type,1
腾讯,腾讯/nz(其他专名),sin_nz_type,0
QQ飞车手游,qq飞车/nz(其他专名) 手游/n(名词),com_del_type,0
化妆,化妆/v(动词),sin_ver_nou_del_type,0
广告,广告/n(名词),val_eval_type,1
美女电话,美女/n(名词) 电话/n(名词),porn_type,1
古风,古风/n(名词),sin_ver_nou_del_type,0
部落冲突,部落/n(名词) 冲突/vn(其他),com_del_type,0
自学,自学/v(动词),sin_ver_nou_del_type,0
操盘手,操盘手/n(名词),sin_ver_nou_del_type,0
穿越火线,穿越火线/nz(其他专名),sin_nz_type,0
福利,福利/n(名词),sin_ver_nou_del_type,0
精准营销,精准/a(形容词) 营销/vn(其他),com_del_type,0
DNF,dnf/nx(其他),sin_nx_type,0
酒店,酒店/n(名词),sin_ver_nou_del_type,0
钓鱼,钓鱼/v(动词),sin_ver_nou_del_type,0
兴趣爱好,兴趣/n(名词) 爱好/v(动词),val_eval_type,1
收藏,收藏/v(动词),sin_ver_nou_del_type,0
上门,上门/v(动词),porn_type,1
经纪人,经纪人/n(名词),sin_ver_nou_del_type,0
黑马,黑马/n(名词),sin_ver_nou_del_type,0
微商,微商/n(名词),sin_ver_nou_del_type,0
寂寞,寂寞/a(形容词),val_eval_type,1
女神,女神/n(名词),sin_ver_nou_del_type,0
友谊,友谊/n(名词),val_eval_type,1
心态调整,心态/n(名词) 调整/vn(其他),com_del_type,0
物业,物业/n(名词),val_eval_type,1
登山,登山/v(动词),sin_ver_nou_del_type,0
开黑,开黑/n(名词),sin_ver_nou_del_type,0
涨停,涨停/v(动词),sin_ver_nou_del_type,0
调节压力,调节/v(动词) 压力/n(名词),com_del_type,0
A股,a股/n(名词),sin_ver_nou_del_type,0
传统行业,传统/a(形容词) 行业/n(名词),com_del_type,0
减肥,减肥/v(动词),sin_ver_nou_del_type,0
健康,健康/ad(其他),sin_other_save_type,0
贷款,贷款/n(名词),sin_ver_nou_del_type,0
电子,电子/n(名词),sin_ver_nou_del_type,0
宝妈,宝妈/n(名词),sin_ver_nou_del_type,0
淘宝秒杀群,淘宝/n(名词) 秒杀/n(名词) 群/Ng(其他),com_del_type,0
美容,美容/v(动词),sin_ver_nou_del_type,0
分享,分享/v(动词),val_eval_type,1
电脑,电脑/n(名词),sin_ver_nou_del_type,0
互刷,互刷/n(名词),val_eval_type,1
找美女,找/v(动词) 美女/n(名词),porn_type,1
信用卡,信用卡/n(名词),sin_ver_nou_del_type,0
徒步,徒步/d(副词),sin_other_save_type,0
二元期权,二元/b(其他) 期权/n(名词),com_del_type,0
化妆品,化妆品/n(名词),sin_ver_nou_del_type,0
教育,教育/vn(其他),sin_other_save_type,0
优惠券,优惠券/n(名词),sin_ver_nou_del_type,0
活动,活动/vn(其他),val_eval_type,1
家居日用,家居/n(名词) 日用/n(名词),com_del_type,0
新手,新手/n(名词),val_eval_type,1
手游,手游/n(名词),sin_ver_nou_del_type,0
80,80/m(数词),numeric_type,1
台球,台球/n(名词),sin_ver_nou_del_type,0
腐女,腐女/n(名词),sin_ver_nou_del_type,0
建材,建材/n(名词),sin_ver_nou_del_type,0
同城美女,同城/n(名词) 美女/n(名词),val_eval_type,1
WWW.CSKBW.COM,www.cskbw.com/nx(其他),val_eval_type,1
苹果,苹果/n(名词),sin_ver_nou_del_type,0
打折,打折/v(动词),sin_ver_nou_del_type,0
北漂,北漂/n(名词),sin_ver_nou_del_type,0
电影原声,电影/n(名词) 原声/n(名词),com_del_type,0
名胜古迹,名胜古迹/l(其他),sin_other_save_type,0
美女妹妹,美女/n(名词) 妹妹/n(名词),val_eval_type,1
采购,采购/v(动词),sin_ver_nou_del_type,0
呵呵,呵呵/e(叹词),sin_other_remove_type,1
科幻,科幻/n(名词),sin_ver_nou_del_type,0
天天酷跑,天天/d(副词) 酷跑/n(名词),com_del_type,0
书法,书法/n(名词),sin_ver_nou_del_type,0
求职,求职/v(动词),sin_ver_nou_del_type,0
高考,高考/v(动词),sin_ver_nou_del_type,0
讨论,讨论/v(动词),val_eval_type,1
无产阶级,无产阶级/n(名词),sin_ver_nou_del_type,0
物理,物理/n(名词),sin_ver_nou_del_type,0
股民,股民/n(名词),sin_ver_nou_del_type,0
写作,写作/v(动词),sin_ver_nou_del_type,0
读书,读书/v(动词),sin_ver_nou_del_type,0
辅导资料,辅导/v(动词) 资料/n(名词),com_del_type,0
EXO,exo/nx(其他),sin_nx_type,0
基友,基友/n(名词),val_eval_type,1
火影忍者,火影忍者/nz(其他专名),sin_nz_type,0
原创,原创/n(名词),sin_ver_nou_del_type,0
激情,激情/n(名词),porn_type,1
斗地主,斗地主/n(名词),sin_ver_nou_del_type,0
大盘,大盘/n(名词),sin_ver_nou_del_type,0
网络游戏,网络/n(名词) 游戏/n(名词),com_del_type,0
城市风光,城市/n(名词) 风光/n(名词),com_del_type,0
快闪,快闪/n(名词),sin_ver_nou_del_type,0
礼品饰品,礼品/n(名词) 饰品/n(名词),com_del_type,0
民歌,民歌/n(名词),sin_ver_nou_del_type,0
室友,室友/n(名词),val_eval_type,1
现货,现货/n(名词),sin_ver_nou_del_type,0
软件,软件/n(名词),sin_ver_nou_del_type,0
小学,小学/n(名词),val_eval_type,1
恋爱,恋爱/v(动词),sin_ver_nou_del_type,0
设计师,设计师/n(名词),sin_ver_nou_del_type,0
宅男,宅男/n(名词),sin_ver_nou_del_type,0
健身,健身/vn(其他),sin_other_save_type,0
姐妹,姐妹/n(名词),val_eval_type,1
国服,国服/n(名词),sin_ver_nou_del_type,0
宅女,宅女/n(名词),sin_ver_nou_del_type,0
内外装修,内外/f(方位词) 装修/v(动词),com_del_type,0
高抛低吸,高/a(形容词) 抛/v(动词) 低吸/v(动词),com_del_type,0
微博营销,微博/n(名词) 营销/vn(其他),com_del_type,0
地理,地理/n(名词),sin_ver_nou_del_type,0
校友,校友/n(名词),val_eval_type,1
白银等,白银/n(名词) 等/u(助词),com_del_type,0
恐怖,恐怖/a(形容词),sin_other_save_type,0
母婴用品,母婴/n(名词) 用品/n(名词),com_del_type,0
白羊座,白羊座/n(名词),sin_ver_nou_del_type,0
明星,明星/n(名词),sin_ver_nou_del_type,0
百度云,/n(名词) /n(名词) 百/m(数词) /n(名词) 度/v(动词) /n(名词) 云/n(名词) /n(名词),val_eval_type,1
麻将,麻将/n(名词),sin_ver_nou_del_type,0
初中,初中/n(名词),val_num_time_type,1
电视剧,电视剧/n(名词),sin_ver_nou_del_type,0
免费资料,免费/v(动词) 资料/n(名词),com_del_type,0
高中,高中/n(名词),val_eval_type,1
折扣,折扣/n(名词),sin_ver_nou_del_type,0
中餐,中餐/n(名词),sin_ver_nou_del_type,0
业主,业主/n(名词),val_eval_type,1
化学,化学/n(名词),sin_ver_nou_del_type,0
拼车,拼车/v(动词),sin_ver_nou_del_type,0
海贼王,海贼王/n(名词),sin_ver_nou_del_type,0
炒股,炒股/v(动词),sin_ver_nou_del_type,0
双子座,双子座/n(名词),sin_ver_nou_del_type,0
景观,景观/n(名词),sin_ver_nou_del_type,0
考研,考研/v(动词),sin_ver_nou_del_type,0
淘宝刷单,淘宝/n(名词) 刷单/n(名词),com_del_type,0
名师,名师/n(名词),sin_ver_nou_del_type,0
热血,热血/n(名词),sin_ver_nou_del_type,0
处女座,处女/n(名词) 座/Ng(其他),com_del_type,0
集合竞价,集合/v(动词) 竞价/v(动词),com_del_type,0
上門,上门/v(动词),porn_type,1
股票技术,股票/n(名词) 技术/n(名词),com_del_type,0
天蝎座,天蝎座/n(名词),sin_ver_nou_del_type,0
水瓶座,水瓶座/n(名词),sin_ver_nou_del_type,0
野营,野营/vn(其他),sin_other_save_type,0
购房,购房/v(动词),sin_ver_nou_del_type,0
瘦身,瘦身/v(动词),sin_ver_nou_del_type,0
射手座,射手座/n(名词),sin_ver_nou_del_type,0
乡村,乡村/n(名词),sin_ver_nou_del_type,0
天文,天文/n(名词),sin_ver_nou_del_type,0
哲学,哲学/n(名词),sin_ver_nou_del_type,0
美女服务,美女/n(名词) 服务/vn(其他),porn_type,1
舍友,舍友/n(名词),val_eval_type,1
早教,早教/j(简称),sin_other_save_type,0
星座,星座/n(名词),sin_ver_nou_del_type,0
黑客,黑客/n(名词),sin_ver_nou_del_type,0
狮子座,狮子座/n(名词),sin_ver_nou_del_type,0
房地产,房地产/n(名词),sin_ver_nou_del_type,0
好朋友,好/a(形容词) 朋友/n(名词),val_eval_type,1
房价,房价/n(名词),sin_ver_nou_del_type,0
双鱼座,双鱼座/n(名词),sin_ver_nou_del_type,0
珠宝首饰,珠宝/n(名词) 首饰/n(名词),com_del_type,0
土木,土木/n(名词),sin_ver_nou_del_type,0
考试,考试/v(动词),sin_ver_nou_del_type,0
金牛座,金牛座/n(名词),sin_ver_nou_del_type,0
天秤座,天秤座/n(名词),sin_ver_nou_del_type,0
护肤品,护肤品/n(名词),sin_ver_nou_del_type,0
陈奕迅,陈奕迅/n(名词),sin_ver_nou_del_type,0
TFBOYS,tfboys/nx(其他),sin_nx_type,0
技术,技术/n(名词),sin_ver_nou_del_type,0
性格,性格/n(名词),sin_ver_nou_del_type,0
奋斗,奋斗/v(动词),sin_ver_nou_del_type,0
穿越,穿越/v(动词),sin_ver_nou_del_type,0
富豪,富豪/n(名词),sin_ver_nou_del_type,0
奇迹暖暖,奇迹/n(名词) 暖暖/v(动词),com_del_type,0
生活休闲,生活/vn(其他) 休闲/vn(其他),val_eval_type,1
交流群,交流/v(动词) 群/Ng(其他),val_eval_type,1
奢侈品,奢侈品/n(名词),sin_ver_nou_del_type,0
亲人,亲人/n(名词),val_eval_type,1
分数线,分数线/n(名词),sin_ver_nou_del_type,0
餐饮,餐饮/n(名词),sin_ver_nou_del_type,0
诗歌,诗歌/n(名词),sin_ver_nou_del_type,0
维权,维权/n(名词),sin_ver_nou_del_type,0
回忆,回忆/v(动词),val_eval_type,1
巨蟹座,巨蟹座/n(名词),sin_ver_nou_del_type,0
投资理财,投资/vn(其他) 理财/vn(其他),com_del_type,0
阅读,阅读/v(动词),sin_ver_nou_del_type,0
萌腐宅,萌/Vg(其他) 腐宅/n(名词),com_del_type,0
摩羯座,摩羯座/n(名词),sin_ver_nou_del_type,0
北京,北京/ns(地名),sin_ns_type,0
魔幻,魔幻/b(其他),sin_other_save_type,0
大学,大学/n(名词),val_eval_type,1
中介,中介/n(名词),sin_ver_nou_del_type,0
同学群,同学/n(名词) 群/Ng(其他),val_eval_type,1
个股推荐,个股/n(名词) 推荐/v(动词),com_del_type,0
玩,玩/v(动词),val_eval_type,1
宝宝,宝宝/n(名词),sin_ver_nou_del_type,0
名侦探柯南,名侦探/n(名词) 柯南/n(名词),com_del_type,0
曲婉婷,曲婉婷/n(名词),sin_ver_nou_del_type,0
后宫,后宫/n(名词),sin_ver_nou_del_type,0
查分,查分/n(名词),sin_ver_nou_del_type,0
魔法,魔法/n(名词),sin_ver_nou_del_type,0
征婚,征婚/vn(其他),sin_other_save_type,0
年轻人,年轻人/n(名词),val_eval_type,1
饮食,饮食/n(名词),sin_ver_nou_del_type,0
友情,友情/n(名词),val_eval_type,1
报名,报名/v(动词),val_eval_type,1
支付宝借条,支付宝/n(名词) 借条/n(名词),com_del_type,0
运动户外,运动/n(名词) 户外/s(处所词),com_del_type,0
旅行,旅行/v(动词),sin_ver_nou_del_type,0
食品餐饮,食品/n(名词) 餐饮/n(名词),com_del_type,0
田径,田径/n(名词),sin_ver_nou_del_type,0
论坛,论坛/n(名词),val_eval_type,1
模拟考,模拟考/n(名词),sin_ver_nou_del_type,0
梦想,梦想/n(名词),sin_ver_nou_del_type,0
喜剧,喜剧/n(名词),sin_ver_nou_del_type,0
JAVA,java/nx(其他),sin_nx_type,0
419,419/m(数词),numeric_type,1
排球,排球/n(名词),sin_ver_nou_del_type,0
11选5,11/m(数词) 选/v(动词) 5/m(数词),com_del_type,0
山地,山地/n(名词),sin_ver_nou_del_type,0
DKLWF,dklwf/nx(其他),val_eval_type,1
