tag,词性,oldtag2count,oldexttag2count,newtag2cout,newtitleexttag2count,newdescexttag2count,classifer,entropy,entropyv2,predicte,pre_label
拆迁,拆迁/v(动词),141,5055,316,2248,1495,0.040925377,6.074212023,6.083999233,0.200761477,0
留学,留学/v(动词),3895,8666,2470,2345,3289,,6.019723526,5.257242562,0.200784679,0
money,money/nx(其他),81,3392,80,369,502,0.20434218,5.723850695,4.443170059,0.200800902,0
社恐,社恐/n(名词),55,161,199,153,211,0.164567484,4.349711026,3.277890325,0.200825332,0
开心就好,开心/a(形容词) 就/d(副词) 好/a(形容词),3180,62654,3649,7474,24593,,5.842638902,5.571001468,0.200852796,0
战地,战地/n(名词),182,2439,706,1053,860,0.143547978,6.021168925,5.210780429,0.200858167,0
农产品,农产品/n(名词),1430,4230,1970,2110,3238,,5.981702964,5.425769881,0.200904647,0
土豪红包,土豪/n(名词) 红包/n(名词),183,1196,308,1039,366,0.153740087,4.49263106,3.448024928,0.200921955,0
抓涨停,抓涨停/n(名词),252,967,328,300,304,0.164567484,5.141026616,4.574814376,0.200963193,0
天然,天然/b(其他),65,7232,71,1131,2495,0.086867935,6.346410006,5.523868991,0.200974846,0
旺旺,旺旺/n(名词),98,7039,143,1358,1755,0.193639116,6.170007192,5.623763018,0.200999284,0
剑侠,剑侠/n(名词),75,4925,191,1378,647,0.0509105,6.285353801,4.968427548,0.201036558,0
游艇,游艇/n(名词),82,741,142,330,466,0.020979309,5.444452301,4.449229217,0.20106442,0
顺义,顺义/ns(地名),75,3258,225,1559,808,0.15397684,6.150618043,5.388650727,0.201094498,0
现货黄金白银,现货/n(名词) 黄金/n(名词) 白银/n(名词),93,991,215,993,600,0.007582831,2.567946605,1.986371116,0.20115348,0
送花,送花/n(名词),72,1786,176,291,1214,0.204791171,4.544964531,2.87282072,0.201239908,0
置换,置换/v(动词),130,2948,407,1478,3691,0.082307716,6.111177107,5.24915309,0.20127043,0
头晕,头晕/v(动词),60,545,44,38,182,0.123897597,3.909816349,2.648438335,0.201335466,0
传感器,传感器/n(名词),109,1025,367,527,1033,0.05523536,5.510663518,4.373615862,0.201407319,0
宝来车友会,宝来/nr(其他) 车友会/n(名词),87,181,33,176,58,0.021821218,4.826699819,4.383059601,0.201422149,0
孕妈妈,孕妈妈/n(名词),268,1988,396,585,2260,0.164567484,4.791718121,4.730862127,0.201481383,0
开户,开户/v(动词),941,16836,1411,4118,11654,,6.146806278,5.407988636,0.201510298,0
php学习,php/nx(其他) 学习/v(动词),96,246,119,109,116,0.11580714,3.176935417,3.352360334,0.201530276,0
反弹割肉,反弹/v(动词) 割肉/n(名词),1430,31,1835,27,13,,2.532178389,3.030458316,0.201532105,0
娱乐传媒,娱乐/vn(其他) 传媒/n(名词),50,854,41,510,182,0.080169485,6.10901739,4.831509914,0.201576312,0
颐和园,颐和园/ns(地名),1659,246,991,68,41,,4.16300005,3.205843029,0.201664774,0
天然气喊单,天然气/n(名词) 喊/v(动词) 单/b(其他),315,281,202,32,85,0.09806269,2.340585962,1.774186804,0.20166519,0
中小学辅导,中小学/n(名词) 辅导/vn(其他),63,218,63,32,41,0.047451399,3.655090005,3.225557328,0.201678924,0
国产片,国产/b(其他) 片/Ng(其他),214,200,30,46,52,0.179955857,3.266122603,2.09827374,0.201684065,0
千玺,千玺/n(名词),287,5558,593,2168,3952,0.164567484,5.712112887,4.150383148,0.201684101,0
练摊,练摊/v(动词),73,152,19,26,87,0.097954404,3.651614652,2.997068727,0.201687637,0
车主,车主/n(名词),342,33139,759,1806,35889,0.049330716,6.449052439,5.936199902,0.201709054,0
网约车,网约车/n(名词),208,630,462,585,732,0.164567484,4.939325861,4.436401296,0.201818284,0
同类,同类/n(名词),59,1791,53,91,953,0.137795047,4.669876213,3.543506999,0.201837006,0
率土之滨,率土之滨/i(习语),242,1745,630,975,852,0.172068592,5.928267309,4.57856611,0.201856991,0
药师,药师/n(名词),156,1973,506,1470,1540,0.060928748,5.393707234,4.960976443,0.201865638,0
qq抢红包,qq/n(名词) 抢/v(动词) 红包/n(名词),73,466,133,422,213,0.19065956,3.701157049,2.736214757,0.201940915,0
青云志,青云志/n(名词),268,1637,601,689,455,0.164567484,5.348063647,3.829408357,0.201955746,0
警察,警察/n(名词),206,7425,344,721,1326,0.077247284,5.978310226,5.236734902,0.201969486,0
鬼片,鬼/n(名词) 片/Ng(其他),66,945,127,190,582,0.176766897,4.312699973,3.386245831,0.20196955,0
不良人,不良人/n(名词),154,3445,291,1100,762,0.164567484,5.869616983,4.582870771,0.201982846,0
字幕,字幕/n(名词),69,1005,154,273,494,0.077143621,5.740287407,4.568020142,0.202078873,0
换号,换号/n(名词),227,10610,490,6689,5995,0.164567484,3.951252441,3.607434335,0.202095252,0
深圳整形,深圳/ns(地名) 整形/vn(其他),61,52,20,21,47,0.017269546,2.587530758,1.624222588,0.202103709,0
训练,训练/v(动词),283,23944,450,3730,9350,0.060933016,6.813273701,6.251532873,0.202173765,0
a股股民,a股/n(名词) 股民/n(名词),436,17,897,12,23,,2.641534211,2.394700406,0.202254157,0
宝骏510,宝骏/nz(其他专名) 510/m(数词),177,258,191,376,255,0.857654901,4.498989674,4.150206176,0.202263102,0
美人鱼,美人鱼/n(名词),138,2032,155,405,250,0.055969089,5.693488018,4.866556329,0.202350178,0
财富交流,财富/n(名词) 交流/vn(其他),55,2252,76,1287,111,0.064129997,4.923194359,4.992279206,0.202399418,0
无线,无线/b(其他),105,9776,323,3704,5774,0.120156907,6.551051282,5.613771296,0.202425947,0
bjd,bjd/nx(其他),263,566,869,690,616,0.383173894,6.130020634,5.553063867,0.202501743,0
输卵管堵塞,输卵管/n(名词) 堵塞/v(动词),83,103,87,27,67,0.053035225,3.45357325,2.965015693,0.202504539,0
假期工,假期工/n(名词),100,971,280,217,357,0.164567484,4.976020809,4.376216375,0.202518791,0
咏春,咏春/v(动词),91,707,169,252,292,0.136738939,5.524900696,4.490932789,0.202559499,0
人才引进,人才/n(名词) 引进/v(动词),77,351,220,197,366,0.072721028,4.114789247,2.941813707,0.202586625,0
升学考试,升学/v(动词) 考试/vn(其他),51,179,162,30,108,0.03763446,3.446835369,2.397895273,0.202780346,0
互联网项目,互联网/n(名词) 项目/n(名词),67,398,175,346,321,0.062712304,3.219779788,3.966011702,0.202793016,0
跳水,跳水/vn(其他),4371,249,1715,27,53,,3.991584189,2.494972173,0.202926857,0
管理学考研,管理学/n(名词) 考研/v(动词),51,90,35,59,48,0.014428354,3.432802147,3.110770568,0.202944898,0
天使之魅,天使/n(名词) 之/u(助词) 魅/Ng(其他),102,564,52,26,95,0.124858944,2.913281209,1.499877008,0.202971991,0
创想兵团,创想/nz(其他专名) 兵团/n(名词),94,702,140,303,154,0.04214642,4.670944709,3.746233983,0.202978882,0
哈利路亚,哈利/n(名词) 路亚/n(名词),88,989,133,86,137,0.225655479,4.149778813,2.488327743,0.203030251,0
龙族,龙族/n(名词),393,6460,989,2382,1282,,6.526268342,5.72235552,0.203078471,0
法甲,法甲/n(名词),145,488,175,25,187,0.040584078,2.87537345,2.319602508,0.203188794,0
绅士,绅士/n(名词),971,10666,2384,4223,3656,,6.653036838,5.697927604,0.203232877,0
文科班,文科/n(名词) 班/n(名词),111,3477,24,283,166,0.17691524,5.27877414,4.177922774,0.203263621,0
代开,代开/n(名词),64,3156,39,356,885,0.035724316,5.493994456,4.646750216,0.203264352,0
学习方法,学习/v(动词) 方法/n(名词),184,1994,407,103,2016,0.226715646,4.140245725,3.41372852,0.203286068,0
nine percent,nine/nx(其他) /w(标点) percent/nx(其他),107,1183,2219,2285,1167,0.350088146,3.297525988,2.771568636,0.203308328,0
婚礼,婚礼/n(名词),428,10266,863,2765,5567,,6.261402167,5.462563645,0.203352288,0
南方大区,南方/s(处所词) 大区/n(名词),64,318,78,101,187,0.208069915,4.134335707,2.257399083,0.203378518,0
作业,作业/v(动词),4087,97054,2420,8127,16245,,6.913317797,6.074355247,0.203455234,0
王妃,王妃/n(名词),63,1578,71,351,338,0.154951741,5.680708454,4.37352796,0.203495208,0
神途,神途/n(名词),59,1081,280,847,392,0.164567484,5.327781093,4.316834968,0.203560833,0
口令红包,口令/n(名词) 红包/n(名词),59,1067,141,164,1018,0.158456935,4.028430869,3.426218494,0.203577385,0
自控,自控/j(简称),55,2408,71,625,530,0.114717771,5.451650209,4.818278318,0.203586482,0
杀阡陌,杀/v(动词) 阡陌/n(名词),89,544,150,122,100,0.065577268,4.742166469,2.863313004,0.203668738,0
评职,评/v(动词) 职/Ng(其他),224,114,143,41,68,0.23461097,3.578953019,3.055525275,0.203770263,0
刀剑,刀剑/n(名词),135,4598,319,1736,1302,0.020101539,6.441563543,5.304553693,0.203771024,0
孕妇群,孕妇/n(名词) 群/Ng(其他),77,506,288,850,740,0.155049955,6.22175167,5.627627109,0.203955586,0
经济适用房,经济/n(名词) 适用/a(形容词) 房/n(名词),122,220,291,153,316,0.093002569,4.804987045,3.650361045,0.203973434,0
趣分期,趣分期/n(名词),51,318,87,31,104,0.164567484,3.497716854,2.751666617,0.203979328,0
r6,r6/nx(其他),73,1656,349,463,292,0.383173894,6.006719894,4.744773988,0.203988671,0
红娘,红娘/n(名词),288,2495,257,817,856,0.231112039,5.884111081,5.18074191,0.203991443,0
墙纸,墙纸/n(名词),1709,1924,2692,1955,2437,,5.24666564,4.517764671,0.204223458,0
颈椎病治疗,颈椎病/n(名词) 治疗/v(动词),86,54,58,20,74,0.025017646,2.567443946,1.242453325,0.204278305,0
摄像头,摄像头/n(名词),123,1320,375,690,1606,0.077156005,5.270696853,4.278374737,0.204304122,0
催乳师,催乳师/n(名词),62,395,139,123,251,0.164567484,4.474790743,3.841750516,0.204357562,0
教研,教研/n(名词),135,24235,206,6807,2308,0.072682322,6.467814957,5.405703289,0.204429149,0
气球装饰,气球/n(名词) 装饰/n(名词),53,78,41,35,47,0.007226557,3.721970218,3.341585515,0.204447279,0
蛋糕,蛋糕/n(名词),504,9624,1061,2259,3377,,6.090054191,4.774664449,0.204481703,0
微乐,微乐/n(名词),299,2931,404,1027,1061,0.164567484,5.407033554,4.847325249,0.20454401,0
快乐彩,快乐彩/n(名词),340,471,72,83,122,0.164567484,3.770424479,2.637831281,0.204587317,0
新桥,新桥/ns(地名),64,4197,169,945,533,0.093884029,6.221515172,5.50323157,0.204596647,0
樱桃,樱桃/n(名词),123,11527,243,1844,1102,0.067663018,6.05330578,5.499060393,0.204606093,0
做单,做单/n(名词),172,6317,434,1084,3321,0.164567484,5.798634022,4.563697112,0.204756663,0
博弈,博弈/v(动词),51,2350,47,614,571,0.146152305,5.937784469,5.20354547,0.204774192,0
修车,修车/v(动词),257,3219,537,1284,2729,0.094090431,5.786029483,5.306314973,0.20481358,0
淘宝垫付群,淘宝/n(名词) 垫付/v(动词) 群/Ng(其他),127,141,286,154,220,0.067426905,4.087944895,2.246163027,0.204833362,0
信用卡提现,信用卡/n(名词) 提现/v(动词),207,343,46,72,149,0.010946889,4.208043737,3.527062001,0.204845221,0
西游,西游/nz(其他专名),140,14682,404,5151,2324,0.044293585,6.658279274,5.489276887,0.204877731,0
山水,山水/n(名词),51,11295,140,4338,4017,0.023237168,6.616463735,5.81753079,0.20488879,0
广播,广播/vn(其他),1858,14416,2204,1300,2406,,6.429605445,5.380924751,0.204946942,0
张艺谋,张艺谋/nr(其他),620,37,417,10,22,,3.223886068,2.163955657,0.204972654,0
钢铁,钢铁/n(名词),163,10101,583,7289,3897,0.030746084,6.550725766,5.433913395,0.204988856,0
糗百,糗百/n(名词),186,1097,334,335,247,0.164567484,5.545866153,4.902690437,0.204990071,0
学生赚,学生赚/n(名词),79,346,159,135,140,0.164567484,3.957382598,3.079047239,0.205078994,0
机顶盒,机顶盒/n(名词),101,733,316,471,691,0.040651201,5.122859064,4.484808575,0.205083564,0
地平线,地平线/n(名词),50,1826,136,634,485,0.179829986,5.560990903,4.685226736,0.205193515,0
保险咨询,保险/n(名词) 咨询/vn(其他),59,759,99,196,148,0.013182827,4.444268579,4.489339122,0.205202565,0
胖迪,胖迪/n(名词),182,3079,478,1898,1552,0.164567484,5.025858284,3.456885191,0.205288242,0
同村,同村/n(名词),828,4575,728,642,1236,,5.603636009,4.17149519,0.205295513,0
互联网兼职,互联网/n(名词) 兼职/vn(其他),50,268,88,295,116,0.035649129,3.89464299,3.202963382,0.205324165,0
歌唱,歌唱/v(动词),159,7181,283,1556,3034,0.14916386,6.163577232,5.608513139,0.205338728,0
凯美瑞团购,凯美瑞/nz(其他专名) 团购/n(名词),57,39,15,28,22,0.005876107,3.205651667,2.633821264,0.205369628,0
复兴,复兴/vn(其他),52,5173,102,1190,2070,0.097030023,6.476703437,5.338975119,0.205437103,0
承兑汇票,承兑/vn(其他) 汇票/n(名词),136,1004,244,1020,919,0.022773395,4.661748435,3.908062663,0.205444363,0
王牌,王牌/n(名词),60,9235,80,2603,1594,0.098615985,6.740618286,5.987519342,0.205473707,0
桃花源记,桃花源/ns(地名) 记/v(动词),59,693,95,170,110,0.155243999,4.437463923,3.160351075,0.205494969,0
报考,报考/v(动词),118,7499,131,1129,9445,0.130905287,5.578486581,5.202477901,0.205497346,0
教会,教会/n(名词),152,5031,299,1241,2383,0.11277393,6.800128432,5.397722644,0.205507073,0
刷题,刷题/n(名词),67,1190,192,887,686,0.164567484,5.371444933,5.086294281,0.205508747,0
陆风x5,陆风/n(名词) x5/nx(其他),96,42,28,29,22,0.040217912,3.625535314,2.99439802,0.205557954,0
官司,官司/n(名词),644,354,111,23,71,,3.830858985,2.51265853,0.205688477,0
育儿经验交流,育儿/vn(其他) 经验/n(名词) 交流/vn(其他),66,621,74,117,403,0.117531368,2.60835446,2.57095982,0.205702884,0
现货理财,现货/n(名词) 理财/vn(其他),79,134,75,36,17,0.006110542,3.176826274,2.809678234,0.205720176,0
抵押车,抵押车/n(名词),229,759,484,1005,1090,0.164567484,5.128819301,4.554166957,0.205752515,0
招聘,招聘/v(动词),10705,64040,33322,38049,96798,,7.196352299,6.622254767,0.205757604,0
单身女人,单身/n(名词) 女人/n(名词),695,1232,77,627,262,,5.297598215,4.594723335,0.205826573,0
游泳,游泳/vn(其他),11796,15682,9300,5588,12225,,6.322224665,5.677130056,0.205858392,0
mg3,mg3/nx(其他),75,146,56,90,85,0.383173894,4.4639853,3.665385326,0.205869627,0
自招,自招/n(名词),60,670,190,307,344,0.131764791,4.702781599,4.511963735,0.205924803,0
刺激战场模拟器,刺激/v(动词) 战场/n(名词) 模拟器/n(名词),51,210,178,293,170,0.03341076,3.307310329,1.92924676,0.205958366,0
爱腾,爱腾/nz(其他专名),72,273,12,182,163,0.19757126,5.478881746,3.908187343,0.205969742,0
蓝珀,蓝珀/nr(其他),167,101,95,34,29,0.065965806,3.234065459,2.6460784,0.20601401,0
遴选,遴选/v(动词),69,660,358,733,1011,0.101647045,4.624748879,4.499100512,0.206095824,0
天翼,天翼/n(名词),53,3912,78,871,566,0.119284533,6.228002916,5.523025627,0.206186385,0
ec7,ec7/nx(其他),62,434,50,53,51,0.383173894,3.8202694,2.931623734,0.206207939,0
儿童画,儿童画/n(名词),58,350,90,55,114,0.025152976,4.359177066,3.144580197,0.206247573,0
颜值高,颜值/n(名词) 高/a(形容词),325,1446,244,93,458,0.352770838,4.402734113,2.871476118,0.206287911,0
海外仓,海外仓/n(名词),50,555,202,209,232,0.164567484,4.765715354,3.932659398,0.20629151,0
能源,能源/n(名词),170,11307,297,2544,2364,0.076332746,6.678039393,5.638258894,0.206359514,0
大迈x5,大迈/n(名词) x5/nx(其他),159,100,51,37,45,0.300666291,3.394412781,2.906980874,0.206361302,0
领红包,领/v(动词) 红包/n(名词),118,5504,266,1657,3102,0.062489313,4.76326639,2.758262762,0.206372557,0
泰剧,泰剧/n(名词),63,139,154,86,175,0.164567484,4.411636593,2.812783252,0.206395678,0
理科,理科/n(名词),275,8403,441,1771,982,0.077918342,5.928995712,5.235656397,0.206430485,0
欧豪,欧豪/n(名词),71,554,155,238,225,0.164567484,5.106729501,3.57463956,0.206534766,0
单车,单车/n(名词),928,9837,2324,5771,5088,,6.752265383,6.088835704,0.206701613,0
气质,气质/n(名词),211,19106,243,2615,3078,0.116748149,5.982290024,4.706619395,0.206728885,0
坑爹,坑爹/n(名词),255,7903,197,749,872,0.164567484,5.907240386,4.819248072,0.206805419,0
话费,话费/n(名词),831,29623,2351,2751,9897,,5.574965759,4.939777025,0.206856855,0
婚姻调查,婚姻/n(名词) 调查/vn(其他),82,390,59,28,64,0.108988714,3.44424947,2.712962173,0.206896024,0
狐妖,狐妖/n(名词),75,1743,154,679,522,0.04034694,5.802507491,4.430374674,0.206908679,0
存款,存款/n(名词),529,1274,542,248,840,,4.886967135,4.155901286,0.206933281,0
项目申报,项目/n(名词) 申报/v(动词),88,1568,237,515,546,0.074800657,4.933328258,4.086543752,0.207031234,0
奥迪a5,奥迪/n(名词) a5/nx(其他),113,41,29,19,19,0.012965826,3.275571498,2.579624674,0.207077745,0
cc平台,cc/nx(其他) 平台/n(名词),172,196,144,145,32,0.124915167,2.358051731,0.693147181,0.20708728,0
牛栏,牛栏/n(名词),71,1141,114,160,301,0.106957096,4.678475124,3.11957667,0.207127504,0
华乾,华乾/nr(其他),63,392,212,257,130,0.065965806,5.76401422,4.618644617,0.207161775,0
唯美,唯美/a(形容词),572,19929,927,5288,3298,,6.825388403,6.042938421,0.207240681,0
谷歌联盟,谷歌/n(名词) 联盟/n(名词),1101,26,723,10,26,,2.649158683,1.039720771,0.207280727,0
留学签证,留学/v(动词) 签证/n(名词),51,64,37,42,83,0.019555545,3.813242896,3.075386254,0.207325228,0
双十一红包,双/m(数词) 十一/t(时间词) 红包/n(名词),57,448,152,248,278,0.137863095,3.909342027,3.139144319,0.207422721,0
吉祥坊,吉祥坊/n(名词),66,171,55,82,115,0.164567484,3.713579909,2.638283782,0.207432844,0
韩剧交流,韩剧/n(名词) 交流/vn(其他),134,218,11,32,194,0.120912304,2.79142092,1.945910149,0.207494468,0
妃子,妃子/n(名词),317,3660,293,908,821,0.368516723,5.356914346,3.415138904,0.207544933,0
桃花源,桃花源/ns(地名),51,2397,70,1146,360,0.061944421,6.178356346,5.349909383,0.207550274,0
拉斯维加斯,拉斯维加斯/ns(地名),52,822,39,279,74,0.023242526,5.282033838,3.980870527,0.207610398,0
记账报税,记账/v(动词) 报税/v(动词),52,148,232,76,268,0.019530852,3.868616514,3.074838075,0.207682869,0
美衣,美衣/n(名词),210,3150,144,577,481,0.164567484,5.604599184,4.865125523,0.207751185,0
千图网,千/m(数词) 图/n(名词) 网/n(名词),65,142,260,263,178,0.192906529,4.355589178,3.881933822,0.207752524,0
金融学,金融学/n(名词),86,5836,115,361,351,0.018362541,5.179528048,3.992077865,0.207789348,0
护栏,护栏/n(名词),56,1007,219,983,2117,0.058518174,5.146719812,4.605068836,0.207804821,0
虎扑,虎扑/n(名词),58,545,180,420,322,0.164567484,5.450145968,4.849054133,0.207825643,0
行业资讯,行业/n(名词) 资讯/n(名词),91,661,235,96,1194,0.261046812,4.645741853,4.196820117,0.207864401,0
潮鞋,潮鞋/n(名词),142,1825,217,785,572,0.164567484,5.860046293,4.900102485,0.207898301,0
黑金刚,黑金刚/n(名词),125,146,27,24,39,0.016212883,3.674854048,2.712962173,0.207908496,0
梅格妮,梅格妮/n(名词),221,690,480,213,632,0.164567484,4.370567754,2.109355927,0.207954193,0
自由搏击,自由/ad(其他) 搏击/v(动词),102,327,257,120,260,0.066081388,4.615045841,3.534390474,0.207963388,0
散心,散心/v(动词),70,2396,115,204,533,0.187698738,4.859784892,3.667492043,0.207969082,0
支付通道,支付/v(动词) 通道/n(名词),69,171,360,303,258,0.141542672,4.07549097,3.39828103,0.20797881,0
csol,csol/nx(其他),312,2979,939,1167,715,0.383173894,5.910460895,4.920946569,0.20800079,0
空间人气,空间/n(名词) 人气/n(名词),179,1045,413,179,1172,0.307713932,4.622985456,3.411498776,0.208005112,0
泸沽湖,泸沽湖/ns(地名),50,423,128,97,165,0.054856862,4.819909295,3.3709443,0.208042169,0
宠物,宠物/n(名词),30004,37490,18962,14395,26292,,6.999559069,6.552912955,0.208078129,0
外汇,外汇/n(名词),14422,12220,18777,6269,9399,,6.324896716,5.472660421,0.20810708,0
百度竞价点击,百度/nz(其他专名) 竞价/v(动词) 点击/v(动词),103,101,29,27,29,0.024151829,2.197224577,1.609437912,0.208176962,0
驾驶,驾驶/v(动词),152,6667,310,1291,4844,0.046072694,6.10832948,5.278524261,0.208184741,0
知乎,知乎/n(名词),151,1035,572,1104,1163,0.164567484,5.795626494,4.970654928,0.208195092,0
士兵,士兵/n(名词),95,2402,88,795,866,0.18672178,4.883053871,3.00418577,0.208226179,0
众泰z700,众泰/nz(其他专名) z/nx(其他) 700/m(数词),162,22,34,32,18,0.816128717,3.40942763,2.716710732,0.208231284,0
棋牌群,棋牌/n(名词) 群/Ng(其他),431,363,80,212,35,,5.53198687,4.014043809,0.208239571,0
西华师范大学,西华/ns(地名) 师范大学/n(名词),56,758,88,83,214,0.054681347,3.913163202,2.522689481,0.208245559,0
4g,4g/nx(其他),118,6522,308,1132,1427,0.383173894,5.987815425,5.153745353,0.208389807,0
贪吃蛇大作战,贪吃蛇/n(名词) 大作战/n(名词),54,400,91,138,142,0.090818436,3.417720777,2.884863441,0.208410894,0
富婆,富婆/n(名词),1094,9540,996,1998,1029,,5.992747043,5.405730706,0.208441478,0
金刚菩提子,金刚/nr(其他) 菩提子/n(名词),61,90,70,45,54,0.028415231,3.453270047,2.589366403,0.208467263,0
居家,居家/v(动词),361,3827,470,1107,1696,0.170530673,6.194876859,5.429207844,0.208469864,0
克隆,克隆/v(动词),112,5621,202,1205,1666,0.073246963,4.366913135,4.948234412,0.208485003,0
自由职业者,自由职业/l(其他) 者/k(后接成分),57,456,82,53,235,0.108060806,3.608384277,2.926417555,0.208550777,0
卡五星,卡五星/n(名词),57,405,119,168,190,0.164567484,4.158585961,3.232814457,0.208572748,0
童话,童话/n(名词),159,19746,185,3452,1634,0.036176255,6.430057267,5.798704089,0.208577978,0
期货考试,期货/n(名词) 考试/vn(其他),383,16,224,12,7,0.008462836,2.638463723,1.473502385,0.208591176,0
傻狍子,傻狍子/n(名词),140,2260,279,439,228,0.164567484,5.112717174,3.519565089,0.208642839,0
四川省,四川省/ns(地名),134,10547,274,1967,4313,0.093687044,6.798445946,6.450410289,0.208673282,0
蔷薇,蔷薇/n(名词),77,11607,118,1967,1198,0.086401475,6.711714069,5.804264603,0.208883821,0
租号,租号/n(名词),152,2852,473,2728,2825,0.164567484,5.282509494,4.335978375,0.208897666,0
政治学,政治学/n(名词),96,2010,42,61,90,0.021280854,4.448936575,3.2826198,0.208912073,0
智能制造,智能/n(名词) 制造/v(动词),53,554,130,197,152,0.016704585,5.224874113,4.444407451,0.208917825,0
出国,出国/v(动词),2969,5197,1645,2017,2936,,5.752214358,5.582466437,0.208958924,0
淘女郎,淘/v(动词) 女郎/n(名词),62,111,354,61,46,0.120652045,3.728619898,2.610945204,0.208979364,0
性感,性感/a(形容词),1486,16772,1064,3973,3137,,5.917658912,5.795264542,0.208996671,0
排球,排球/n(名词),5051,13260,2480,2801,2454,,6.443935772,6.13657185,0.209038081,0
k线大盘,k/nx(其他) 线/n(名词) 大盘/n(名词),135,39,203,30,21,0.022169626,3.133399666,2.834198465,0.209056121,0
英雄联盟,英雄/n(名词) 联盟/n(名词),17134,199475,32193,21712,17546,,6.601028038,5.67169058,0.209077634,0
环球,环球/n(名词),102,8914,142,3649,2624,0.045653445,6.96462655,6.522549007,0.209122342,0
高清,高清/a(形容词),1769,5954,1817,2065,5332,,6.341016667,5.542285293,0.209149623,0
婚车婚庆,婚车/n(名词) 婚庆/n(名词),79,148,22,122,66,0.042607665,4.571182432,4.340152479,0.209182873,0
卖东西,卖/v(动词) 东西/n(名词),77,1367,93,157,1551,0.039611312,3.85425554,2.213566998,0.209223375,0
科目一,科目一/n(名词),98,487,135,94,193,0.164567484,4.142328327,2.595532592,0.209229385,0
感性,感性/n(名词),72,1699,67,112,353,0.155633943,5.007801772,3.428690357,0.209252295,0
复仇者联盟,复仇者/n(名词) 联盟/n(名词),118,5340,250,689,155,0.141496437,5.324758768,4.111240136,0.209268778,0
搭讪,搭讪/v(动词),189,1058,383,392,838,0.288081232,5.167135334,4.283317555,0.209284695,0
物理学,物理学/n(名词),108,3736,106,282,313,0.02600326,5.3671671,4.264746638,0.209314413,0
